Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_2: count=1, empty_paths=0, non_empty=1
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
Shadow paths for strand 1_1: count=0, empty_paths=0, non_empty=0
